dataset,InfoTS,Rand_Init,Shift_CL,SimCLR,SimMTM,TS2Vec
ArticularyWordRecognition,16.47817349433899,0.013965845108032227,10.738569974899292,12.918976306915283,12.83245062828064,19.349653482437134
AtrialFibrillation,71.54273295402527,0.012885808944702148,13.861237525939941,14.816160202026367,70.81289076805115,71.06128168106079
BasicMotions,27.38057804107666,0.013190269470214844,11.729455709457397,13.424055576324463,33.70796465873718,29.68425965309143
CharacterTrajectories,51.50443625450134,0.013476133346557617,39.97326612472534,37.84261608123779,40.91058874130249,58.52950382232666
Cricket,83.39785695075989,0.015388965606689453,50.45002841949463,63.30900239944458,162.56769490242004,95.04051303863525
DuckDuckGeese,37.22272300720215,0.014287233352661133,13.856645822525024,84.05376052856445,1106.0546333789825,35.54071831703186
ERing,44.08675789833069,0.01517796516418457,11.526124477386475,12.291711807250977,44.897796869277954,45.94948768615723
Epilepsy,20.86968994140625,0.013936281204223633,13.047889232635498,12.886942386627197,18.332285404205322,23.711007833480835
EthanolConcentration,88.59489035606384,0.014622926712036133,59.469056129455566,77.55960512161255,166.39765787124634,102.91780686378479
FaceDetection,47.715479612350464,0.013893842697143555,37.31071853637695,46.41123580932617,136.0403459072113,49.575849771499634
FingerMovements,17.140646934509277,0.014993429183959961,12.851150512695312,12.58749771118164,17.1322340965271,19.934921264648438
HandMovementDirection,21.47331690788269,0.0137786865234375,12.756556987762451,13.634753227233887,31.506259441375732,26.439674377441406
Handwriting,20.5995991230011,0.013884544372558594,10.969569444656372,12.47047233581543,16.811065196990967,24.11012601852417
Heartbeat,21.306363105773926,0.014142751693725586,12.782017707824707,16.918138027191162,94.56418752670288,23.84165382385254
JapaneseVowels,19.511117219924927,0.01383209228515625,12.762266635894775,12.043689966201782,15.389582872390747,19.257089614868164
LSST,15.160602807998657,0.016644716262817383,12.443992853164673,12.40267300605774,10.267732381820679,17.281628131866455
Libras,21.274867057800293,0.01470804214477539,12.874407768249512,12.107969045639038,13.340160846710205,22.44547700881958
MotorImagery,137.30260157585144,0.013681173324584961,80.94289803504944,197.067036151886,1897.5530805587769,154.77532124519348
NATOPS,20.927146911621094,0.013818025588989258,12.786866664886475,13.326008558273315,18.474050045013428,22.737905502319336
PEMS-SF,22.87957763671875,0.01678943634033203,12.448638439178467,55.588624477386475,431.1659314632416,24.00948476791382
PenDigits,15.561889171600342,0.01351308822631836,11.711896181106567,12.587463855743408,13.243256092071533,18.472805500030518
PhonemeSpectra,50.88855743408203,0.016144752502441406,38.31247162818909,35.41511154174805,55.9852135181427,63.46301293373108
RacketSports,22.258410453796387,0.01581549644470215,12.284277200698853,13.683731079101562,16.391751050949097,22.43876886367798
SelfRegulationSCP1,66.46881747245789,0.01577591896057129,45.52373790740967,54.83579635620117,122.27375626564026,79.89839673042297
SelfRegulationSCP2,75.81921672821045,0.01348114013671875,48.02098035812378,61.0287549495697,163.578467130661,89.70339441299438
SpokenArabicDigits,50.28469133377075,0.015604734420776367,34.54171109199524,36.51687526702881,65.91546177864075,50.93113422393799
StandWalkJump,134.64845323562622,0.013765335083007812,24.208406925201416,33.5604293346405,181.30332827568054,143.0132701396942
UWaveGestureLibrary,22.23081946372986,0.01410365104675293,12.203675031661987,13.506611108779907,20.834453344345093,26.79819345474243
