dataset,InfoTS,Rand_Init,Shift_CL,SimCLR,SimMTM,TS2Vec
SemgHandGenderCh2,82.16666666666667,80.5,87.0,80.83333333333333,83.16666666666667,80.5
SemgHandMovementCh2,44.888888888888886,42.22222222222222,57.99999999999999,54.0,55.55555555555556,54.44444444444444
SemgHandSubjectCh2,59.111111111111114,55.333333333333336,66.88888888888889,63.55555555555556,67.11111111111111,65.11111111111111
ShakeGestureWiimoteZ,84.0,86.0,84.0,96.0,92.0,88.0
ShapeletSim,92.77777777777779,86.11111111111111,92.22222222222223,98.88888888888889,99.44444444444444,93.88888888888889
ShapesAll,66.33333333333333,67.5,91.16666666666666,84.16666666666667,85.83333333333333,81.83333333333334
SmallKitchenAppliances,79.73333333333333,79.2,80.26666666666667,78.93333333333334,82.39999999999999,84.26666666666667
SmoothSubspace,96.0,96.0,92.66666666666666,94.66666666666667,94.0,96.66666666666667
SonyAIBORobotSurface1,88.35274542429285,86.522462562396,83.02828618968387,85.85690515806988,88.35274542429285,84.19301164725458
SonyAIBORobotSurface2,83.31584470094438,85.30954879328436,92.96956977964324,94.01888772298005,88.45750262329486,88.2476390346275
StarLightCurves,90.66294317629917,90.23797960174842,97.26809130645945,96.17532782904323,96.39388052452647,95.8960660514813
Strawberry,91.08108108108108,90.27027027027027,96.48648648648648,95.13513513513514,95.4054054054054,95.67567567567568
SwedishLeaf,84.64,85.76,94.72,95.04,94.24,93.92
Symbols,65.22613065326634,67.03517587939697,93.36683417085428,84.82412060301507,92.96482412060301,86.13065326633166
SyntheticControl,96.66666666666667,96.33333333333334,97.33333333333334,97.33333333333334,97.33333333333334,98.0
ToeSegmentation1,86.40350877192982,90.78947368421053,93.42105263157895,90.35087719298247,95.17543859649122,92.54385964912281
ToeSegmentation2,81.53846153846153,79.23076923076923,84.61538461538461,84.61538461538461,86.92307692307692,87.6923076923077
Trace,96.0,98.0,99.0,99.0,100.0,100.0
TwoLeadECG,96.22475856014047,96.57594381035996,89.72783143107989,94.46883230904302,83.9332748024583,94.29323968393327
TwoPatterns,95.325,96.075,98.625,98.97500000000001,97.875,98.825
UMD,82.63888888888889,72.91666666666666,97.91666666666666,97.22222222222221,96.52777777777779,97.91666666666666
UWaveGestureLibraryAll,60.69235064209939,61.16694584031267,82.57956448911223,77.52652149637073,78.95030709101061,77.21943048576215
UWaveGestureLibraryX,64.6286990508096,65.01954215522055,76.3539921831379,75.7677275265215,76.21440536013401,74.48352875488554
UWaveGestureLibraryY,51.814628699050814,53.12674483528755,66.38749302065885,65.43830262423226,65.43830262423226,64.20993858179787
UWaveGestureLibraryZ,62.6465661641541,63.06532663316583,72.83640424343942,72.8643216080402,71.07761027359018,71.55220547180346
Wafer,96.3659961064244,96.65801427644386,99.18883841661258,99.1563919532771,99.26995457495134,99.10772225827384
Wine,79.62962962962963,83.33333333333334,83.33333333333334,79.62962962962963,83.33333333333334,85.18518518518519
WordSynonyms,44.357366771159874,41.37931034482759,62.225705329153605,61.75548589341693,60.3448275862069,61.75548589341693
Worms,59.74025974025974,58.44155844155844,70.12987012987013,70.12987012987013,70.12987012987013,66.23376623376623
WormsTwoClass,67.53246753246754,64.93506493506493,75.32467532467533,80.51948051948052,70.12987012987013,70.12987012987013
Yoga,67.36666666666666,67.63333333333334,83.1,79.10000000000001,82.19999999999999,79.63333333333334
